,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,은평구,진관동(1138069000),,"21,170","21,170","1,758","1,429","6,492","6,251","8,281","9,505","5,126"
서울특별시,서대문구,-1141000000,,"53,841","53,841","2,939","6,673","45,259","44,947","42,218","47,762","13,700"
서울특별시,서대문구,천연동(1141052000),,"300,609","300,609","15,269","21,725","1,794","2,386","2,260","2,830","83,429"
서울특별시,서대문구,북아현동(1141055500),,"16,354","16,354",961,"1,184","1,754","2,836","2,416","2,410","4,939"
서울특별시,서대문구,충현동(1141056500),,"15,141","15,141","1,144",988,"2,664","3,388","2,756","3,008","3,593"
서울특별시,서대문구,신촌동(1141058500),,"19,271","19,271",907,"1,260","8,430","3,861","1,847","1,887","5,288"
서울특별시,서대문구,연희동(1141061500),,"20,297","20,297",385,881,"7,185","5,421","4,177","4,838","3,006"
서울특별시,서대문구,홍제제1동(1141062000),,"33,239","33,239","1,060","1,945","2,853","3,577","3,377","4,230","8,613"
서울특별시,서대문구,홍제제3동(1141064000),,"24,316","24,316","1,233","1,638","2,069","2,370","2,251","2,948","7,408"
서울특별시,서대문구,홍제제2동(1141065500),,"17,287","17,287",903,"1,052","1,302","1,807","1,436","2,068","5,694"
서울특별시,서대문구,홍은제1동(1141066000),,"11,942","11,942",582,758,"2,581","3,340","3,184","3,920","3,989"
서울특별시,서대문구,홍은제2동(1141068500),,"23,193","23,193","1,205","1,541","3,676","3,831","3,784","4,631","7,422"
서울특별시,서대문구,남가좌제1동(1141069000),,"27,389","27,389","1,224","2,098","1,431","2,116","3,335","2,462","8,145"
서울특별시,서대문구,남가좌제2동(1141070000),,"16,527","16,527","1,698","1,970","3,843","3,861","4,666","4,425","3,515"
서울특별시,서대문구,북가좌제1동(1141071000),,"28,571","28,571","2,012","2,545","1,755","2,095","2,840","2,989","7,219"
서울특별시,서대문구,북가좌제2동(1141072000),,"17,306","17,306",973,"1,914","3,922","4,058","3,889","5,116","4,740"
서울특별시,마포구,-1144000000,,"29,776","29,776",982,"1,951","54,895","64,729","54,613","55,771","9,858"
서울특별시,마포구,아현동(1144055500),,"358,111","358,111","18,324","25,722","2,815","5,813","5,332","4,206","84,057"
서울특별시,마포구,공덕동(1144056500),,"29,018","29,018","2,780","2,275","5,184","6,745","4,924","5,891","5,797"
서울특별시,마포구,도화동(1144058500),,"35,957","35,957","1,669","2,071","2,359","3,651","2,815","3,197","9,473"
서울특별시,마포구,용강동(1144059000),,"20,267","20,267","1,148","1,403","1,918","3,358","4,114","3,237","5,694"
서울특별시,마포구,대흥동(1144060000),,"21,138","21,138","1,711","2,218","3,544","2,463","1,851","2,107","4,582"
서울특별시,마포구,염리동(1144061000),,"14,241","14,241",483,863,"2,246","2,593","3,179","2,599","2,930"
서울특별시,마포구,신수동(1144063000),,"16,804","16,804","1,209","1,818","3,212","3,409","3,343","3,828","3,160"
서울특별시,마포구,서강동(1144065500),,"21,987","21,987","1,305","1,750","4,565","4,052","3,587","3,765","5,140"
서울특별시,마포구,서교동(1144066000),,"24,317","24,317","1,393","1,670","5,381","5,380","3,324","3,080","5,285"
서울특별시,마포구,합정동(1144068000),,"23,513","23,513",576,971,"2,555","3,659","2,324","2,122","4,801"
서울특별시,마포구,망원제1동(1144069000),,"15,691","15,691",502,693,"2,792","3,596","2,737","2,824","3,836"
서울특별시,마포구,망원제2동(1144070000),,"18,445","18,445",591,929,"2,346","2,870","2,626","2,879","4,976"
서울특별시,마포구,연남동(1144071000),,"17,218","17,218",674,"1,246","2,581","2,983","1,967","1,934","4,577"
